track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,playlist_name
Superhero (Heroes & Villains) [with Future & Chris Brown],0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,rap,Rap Caviar
Rich Flex,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,rap,Rap Caviar
Freestyle,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,rap,Rap Caviar
Just Wanna Rock,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,rap,Rap Caviar
Internet Trolls,0.765,0.882,1,-3.392,1,0.414,0.0432,0.0,0.353,0.439,166.784,rap,Rap Caviar
No Role Modelz,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,rap,Rap Caviar
Champions,0.647,0.65,1,-7.396,1,0.0771,0.171,0.0,0.106,0.377,132.997,rap,Rap Caviar
King Snipe,0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,rap,Rap Caviar
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,rap,Rap Caviar
Many Men (Wish Death),0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,rap,Rap Caviar
Mad Max,0.898,0.64,5,-8.796,0,0.255,0.0212,0.0,0.0919,0.68,149.988,rap,Rap Caviar
23,0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,rap,Rap Caviar
Hell Yeah,0.696,0.708,9,-4.737,1,0.0438,0.000113,0.0,0.444,0.287,142.026,rap,Rap Caviar
Quickie,0.87,0.506,2,-9.415,1,0.432,0.0901,0.0,0.145,0.347,137.921,rap,Rap Caviar
Too Many Nights (feat. Don Toliver & with Future),0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,rap,Rap Caviar
Double Faces,0.751,0.646,5,-8.183,1,0.052,0.0261,4.36e-06,0.102,0.216,127.985,rap,Rap Caviar
Hanging With Wolves,0.823,0.636,11,-7.239,0,0.0612,0.0168,0.0,0.108,0.5,151.978,rap,Rap Caviar
"Hey, Mickey!",0.912,0.507,2,-11.952,1,0.0587,0.579,0.0,0.167,0.725,134.978,rap,Rap Caviar
"One Mic, One Gun",0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,rap,Rap Caviar
Players,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,rap,Rap Caviar
Pussy & Millions (feat. Travis Scott),0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,rap,Rap Caviar
DARK BROTHERHOOD (feat. Lil Baby),0.681,0.801,7,-2.515,0,0.179,0.0687,0.0,0.768,0.371,148.936,rap,Rap Caviar
In Ha Mood,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,rap,Rap Caviar
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap,Rap Caviar
Out thë way,0.767,0.628,4,-7.41,0,0.242,0.21,8.79e-06,0.275,0.798,128.07,rap,Rap Caviar
Get Away,0.839,0.642,1,-5.581,1,0.0535,0.0431,6.76e-05,0.148,0.211,140.078,rap,Rap Caviar
Water (Drowning Pt. 2) [feat. Kodak Black],0.855,0.603,0,-5.488,1,0.284,0.0392,0.0,0.105,0.494,129.976,rap,Rap Caviar
My All,0.493,0.613,1,-6.636,1,0.414,0.0393,0.0,0.128,0.373,156.104,rap,Rap Caviar
Twin (feat. Lil Durk),0.785,0.609,11,-8.623,0,0.186,0.031,5.47e-05,0.096,0.326,83.962,rap,Rap Caviar
2 Million Up,0.884,0.423,6,-10.181,0,0.275,0.115,0.0,0.0895,0.259,95.753,rap,Rap Caviar
Blessing,0.703,0.636,1,-8.652,0,0.177,0.338,0.0,0.0981,0.496,132.986,rap,Rap Caviar
Real Spill,0.776,0.557,2,-7.441,1,0.545,0.0496,0.0,0.112,0.284,156.978,rap,Rap Caviar
Jigsaw,0.75,0.714,1,-9.032,1,0.134,0.00296,0.000113,0.137,0.254,160.036,rap,Rap Caviar
If You Still Wit Me (feat. Lil Baby),0.519,0.766,2,-6.519,1,0.345,0.0906,0.0,0.287,0.449,100.281,rap,Rap Caviar
FTCU (feat. GloRilla & Gangsta Boo),0.894,0.633,10,-5.294,0,0.298,0.0369,0.0,0.178,0.578,145.11,rap,Rap Caviar
Love For The Streets,0.799,0.733,2,-6.234,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,rap,Rap Caviar
Do It Again (feat. 2Rare),0.806,0.64,11,-7.398,0,0.317,0.0864,0.0,0.201,0.716,160.054,rap,Rap Caviar
Torpedo,0.84,0.63,11,-5.671,0,0.0579,0.000502,0.00136,0.128,0.14,123.994,rap,Rap Caviar
FreakyT,0.806,0.542,0,-7.482,0,0.064,0.241,0.000494,0.113,0.14,142.881,rap,Rap Caviar
JUST FRIENDS ?,0.642,0.282,1,-15.018,1,0.4,0.351,0.0,0.264,0.161,147.022,rap,Rap Caviar
LET GO,0.735,0.449,2,-9.933,0,0.383,0.859,0.0,0.213,0.514,146.016,rap,Rap Caviar
Two Tens (feat. Anderson .Paak),0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,rap,Rap Caviar
Do It Right,0.662,0.515,5,-6.867,1,0.199,0.458,0.0,0.163,0.386,69.808,rap,Rap Caviar
Letter to Takeoff,0.808,0.478,5,-8.63,0,0.381,0.375,0.0,0.0761,0.335,140.958,rap,Rap Caviar
Don't Play With It (feat. Billy B),0.763,0.726,1,-5.61,1,0.109,0.00377,0.0,0.0719,0.327,99.042,rap,Rap Caviar
KNIGHT CRAWLER (feat. Juice WRLD),0.679,0.769,0,-3.539,1,0.24,0.0537,0.0,0.309,0.424,130.094,rap,Rap Caviar
Sucka Or Sum,0.828,0.539,1,-7.3,1,0.225,0.205,3.83e-05,0.305,0.68,125.05,rap,Rap Caviar
PUT YOU ON GAME,0.805,0.692,10,-2.142,0,0.301,0.273,0.0,0.126,0.601,145.904,rap,Rap Caviar
JOC IN '06,0.857,0.524,1,-11.931,1,0.279,0.0255,0.0,0.336,0.379,137.943,rap,Rap Caviar
On Wat U On (with GloRilla),0.894,0.528,1,-7.623,1,0.466,0.0444,0.0,0.108,0.2,144.532,rap,Rap Caviar
IF I STOP NOW,0.636,0.656,11,-7.123,0,0.344,0.0219,0.0,0.13,0.362,75.962,rap,Rap Caviar
Internet Trolls,0.765,0.882,1,-3.392,1,0.414,0.0432,0.0,0.353,0.439,166.784,rap,No Cap
Champions,0.647,0.65,1,-7.396,1,0.0771,0.171,0.0,0.106,0.377,132.997,rap,No Cap
Back Flippin,0.81,0.379,1,-6.77,1,0.27,0.00976,0.0,0.112,0.381,87.572,rap,No Cap
Ma Boy,0.874,0.812,1,-5.499,1,0.114,0.0191,0.000846,0.113,0.465,138.047,rap,No Cap
On BS,0.841,0.358,9,-8.368,1,0.591,0.0201,0.0,0.39,0.329,158.014,rap,No Cap
Superhero (Heroes & Villains) [with Future & Chris Brown],0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,rap,No Cap
King Snipe,0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,rap,No Cap
Long Way To Go,0.855,0.732,5,-5.645,1,0.255,0.0911,0.0,0.0733,0.72,147.98,rap,No Cap
Jigsaw,0.75,0.714,1,-9.032,1,0.134,0.00296,0.000113,0.137,0.254,160.036,rap,No Cap
Ain't On None (feat. 21 Savage),0.709,0.661,5,-6.02,0,0.245,0.0157,1.99e-06,0.0846,0.329,170.051,rap,No Cap
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap,No Cap
23,0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,rap,No Cap
JOC IN '06,0.857,0.524,1,-11.931,1,0.279,0.0255,0.0,0.336,0.379,137.943,rap,No Cap
Dennis,0.536,0.717,2,-4.587,1,0.292,0.00491,0.0,0.0887,0.337,161.972,rap,No Cap
Umbrella (with 21 Savage & Young Nudy),0.822,0.788,11,-3.634,0,0.173,0.0838,0.000173,0.359,0.389,111.016,rap,No Cap
Gang Nem (feat. EST Gee),0.89,0.408,11,-6.757,1,0.421,0.234,0.0,0.112,0.64,81.019,rap,No Cap
Sucka Or Sum,0.828,0.539,1,-7.3,1,0.225,0.205,3.83e-05,0.305,0.68,125.05,rap,No Cap
Overdose,0.875,0.59,2,-8.106,1,0.271,0.0332,0.0,0.109,0.485,137.013,rap,No Cap
On Site,0.726,0.486,6,-9.213,1,0.379,0.04,0.0,0.766,0.572,159.983,rap,No Cap
How Bout U ?,0.772,0.569,3,-5.391,1,0.0807,0.562,0.0,0.145,0.557,140.916,rap,No Cap
Primetime,0.823,0.792,1,-5.477,1,0.24,0.00753,1.2e-05,0.375,0.334,119.943,rap,No Cap
Magic Potion,0.716,0.504,3,-8.097,0,0.394,0.367,0.0,0.282,0.626,145.041,rap,No Cap
IF I STOP NOW,0.636,0.656,11,-7.123,0,0.344,0.0219,0.0,0.13,0.362,75.962,rap,No Cap
Mary Jane,0.656,0.579,1,-8.416,1,0.34,0.0296,0.0,0.131,0.334,80.152,rap,No Cap
First Time,0.549,0.435,4,-11.923,0,0.385,0.0109,0.0,0.11,0.522,100.99,rap,No Cap
AL Roker,0.753,0.424,6,-10.62,0,0.599,0.197,0.0,0.0694,0.714,162.878,rap,No Cap
Bestfrenn (feat. GloRilla),0.817,0.918,1,-3.749,1,0.297,0.0121,0.0,0.166,0.815,161.1,rap,No Cap
4GOD II,0.707,0.832,2,-4.967,1,0.267,0.00464,1.11e-06,0.0843,0.544,94.491,rap,No Cap
Quickie,0.87,0.506,2,-9.415,1,0.432,0.0901,0.0,0.145,0.347,137.921,rap,No Cap
If You Still Wit Me (feat. Lil Baby),0.519,0.766,2,-6.519,1,0.345,0.0906,0.0,0.287,0.449,100.281,rap,No Cap
Where's Dexter,0.709,0.675,2,-5.915,1,0.284,0.0594,0.0,0.115,0.397,137.983,rap,No Cap
Parking Lot,0.829,0.628,1,-8.187,1,0.521,0.205,0.0,0.11,0.508,180.209,rap,No Cap
Check (feat. Big Yavo),0.816,0.756,1,-5.062,1,0.197,0.0045,0.0,0.226,0.556,135.046,rap,No Cap
Rich Flex,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,rap,No Cap
Roll A opp,0.74,0.495,6,-12.981,0,0.407,0.0977,0.000495,0.226,0.491,141.944,rap,No Cap
Brody Trippin (feat. Baby Drill),0.746,0.52,9,-9.28,1,0.442,0.0403,0.0,0.152,0.486,72.895,rap,No Cap
Love For The Streets,0.799,0.733,2,-6.234,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,rap,No Cap
Where U From,0.844,0.724,2,-5.776,1,0.194,0.0668,0.0,0.313,0.815,102.018,rap,No Cap
I Got A Bag (feat. Hotboii),0.501,0.699,7,-4.733,1,0.248,0.171,0.0,0.123,0.671,85.267,rap,No Cap
Ain’t Right,0.8,0.375,1,-6.834,1,0.129,0.02,0.0,0.121,0.0561,139.985,rap,No Cap
On Wat U On (with GloRilla),0.894,0.528,1,-7.623,1,0.466,0.0444,0.0,0.108,0.2,144.532,rap,No Cap
No More Friends,0.645,0.842,5,-3.023,0,0.0983,0.00816,0.0,0.396,0.237,150.039,rap,No Cap
Out of Time,0.868,0.562,11,-5.111,0,0.251,0.0111,0.0,0.0826,0.132,89.951,rap,No Cap
Neighborhood Trapstars,0.854,0.626,2,-6.486,1,0.448,0.0511,0.0,0.34,0.132,100.135,rap,No Cap
Writing My Wrongs,0.422,0.536,2,-6.605,0,0.053,0.405,0.0,0.204,0.719,151.206,rap,No Cap
Gah Damn,0.807,0.519,2,-11.421,1,0.358,0.00171,0.0,0.365,0.139,139.991,rap,No Cap
"One Mic, One Gun",0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,rap,No Cap
Pew Pew,0.902,0.544,7,-8.242,0,0.242,0.153,0.0,0.111,0.136,131.912,rap,No Cap
Get Em,0.803,0.414,8,-12.382,1,0.572,0.154,0.0,0.12,0.543,79.929,rap,No Cap
Da Rant,0.529,0.687,11,-7.142,1,0.28,0.0242,1.47e-06,0.129,0.222,82.283,rap,No Cap
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap,Pressure
What Else,0.925,0.551,9,-7.145,1,0.21,0.117,0.0,0.08,0.666,127.024,rap,Pressure
Tomorrow 2 (with Cardi B),0.791,0.818,0,-3.93,1,0.406,0.0695,0.0,0.114,0.693,159.922,rap,Pressure
Princess Diana,0.902,0.733,9,-4.056,1,0.164,0.289,0.0,0.085,0.821,147.977,rap,Pressure
Don't Worry Bout It,0.895,0.805,10,-5.578,0,0.0486,0.00194,0.0,0.113,0.318,140.986,rap,Pressure
Anxiety,0.951,0.766,8,-4.65,0,0.259,0.233,0.0,0.118,0.686,126.989,rap,Pressure
Give U Some (feat. Rob49),0.945,0.682,4,-7.295,0,0.311,0.0177,0.0,0.0813,0.84,102.489,rap,Pressure
Telfy,0.939,0.713,0,-6.964,0,0.206,0.247,0.0,0.0732,0.69,123.065,rap,Pressure
Come Thru,0.765,0.595,1,-11.121,1,0.419,0.0274,0.00147,0.0692,0.208,79.964,rap,Pressure
PTSD,0.854,0.463,1,-5.997,1,0.0915,0.00773,7.35e-06,0.12,0.551,119.04,rap,Pressure
No Hook,0.783,0.758,2,-4.294,0,0.3,0.279,0.0,0.129,0.51,102.018,rap,Pressure
Texture,0.846,0.602,10,-8.008,0,0.201,0.017,7.55e-06,0.187,0.16,140.099,rap,Pressure
Uh Ohhh,0.849,0.687,6,-7.064,0,0.104,0.00732,0.0,0.113,0.316,144.017,rap,Pressure
Nann Hoe,0.88,0.681,7,-8.083,0,0.252,0.055,0.0,0.086,0.722,78.013,rap,Pressure
Body Bag,0.858,0.622,7,-4.413,1,0.266,0.515,0.0,0.146,0.517,85.054,rap,Pressure
6000 Degrees (AH HA),0.918,0.517,2,-7.085,1,0.156,0.0365,0.0,0.0998,0.158,131.983,rap,Pressure
berserk,0.886,0.886,0,-5.222,1,0.218,0.0721,0.000134,0.0621,0.701,99.924,rap,Pressure
M.A.B,0.858,0.828,0,-4.16,1,0.103,0.00662,0.0,0.613,0.579,150.045,rap,Pressure
Diamond in the Rough - Remix,0.822,0.601,1,-7.421,1,0.429,0.15,0.0,0.098,0.689,155.003,rap,Pressure
Hands on the Floor,0.859,0.508,5,-7.459,0,0.331,0.182,0.0,0.0725,0.592,100.067,rap,Pressure
Honey Bun,0.718,0.763,7,-7.011,1,0.114,0.266,0.00214,0.335,0.181,92.054,rap,Pressure
BAFWM,0.907,0.681,1,-5.06,1,0.311,0.204,0.0,0.0637,0.726,139.906,rap,Pressure
Maneuver (feat. Flo Milli),0.842,0.859,11,-3.654,1,0.265,0.0682,0.0,0.148,0.568,124.941,rap,Pressure
Issa Photoshoot,0.803,0.634,2,-5.403,1,0.0946,0.0463,0.0,0.0969,0.453,160.018,rap,Pressure
Blow It (feat. Kali),0.845,0.442,11,-6.655,0,0.147,0.0321,0.315,0.107,0.343,88.502,rap,Pressure
Here I Come,0.825,0.663,1,-4.989,1,0.0948,0.0138,0.000222,0.0971,0.45,91.965,rap,Pressure
Stand On It,0.897,0.721,1,-3.857,1,0.307,0.133,1.21e-06,0.0527,0.704,139.995,rap,Pressure
In Ha Mood,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,rap,Pressure
Gotsta Get Paid,0.81,0.734,11,-2.353,1,0.142,0.00673,0.0,0.136,0.52,142.644,rap,Pressure
Keep The Change,0.778,0.682,6,-4.917,0,0.209,0.0111,0.0,0.132,0.256,155.091,rap,Pressure
F.N.G.M.,0.937,0.719,6,-6.409,0,0.161,0.0186,1.1e-05,0.0909,0.384,96.048,rap,Pressure
Pussycat,0.873,0.812,0,-3.624,1,0.14,0.031,0.0,0.118,0.388,127.015,rap,Pressure
Gang Gang,0.674,0.869,1,-4.528,1,0.132,0.117,0.000174,0.309,0.566,146.16,rap,Pressure
Wet,0.853,0.422,8,-5.639,1,0.113,0.00572,3.39e-06,0.11,0.522,160.028,rap,Pressure
Black Barbie,0.838,0.766,6,-8.485,1,0.517,0.45,0.0,0.0738,0.855,164.873,rap,Pressure
Munch (Feelin’ U),0.811,0.528,11,-7.278,0,0.275,0.291,0.0,0.0787,0.635,166.084,rap,Pressure
TAN,0.696,0.478,1,-7.898,1,0.229,0.00417,0.0,0.418,0.218,84.082,rap,Pressure
Scary (feat. Rico Nasty),0.903,0.707,0,-4.896,1,0.439,0.0106,2.89e-05,0.114,0.528,85.024,rap,Pressure
Messy,0.69,0.308,11,-16.06,1,0.496,0.3,0.0,0.0996,0.446,144.015,rap,Pressure
F.N.F. (Let's Go),0.864,0.476,1,-10.068,1,0.436,0.0374,0.0,0.374,0.647,157.144,rap,Pressure
Gorilla,0.716,0.813,5,-5.748,1,0.256,0.269,0.0,0.104,0.682,90.418,rap,Pressure
Juju,0.744,0.349,1,-8.474,1,0.363,0.194,0.0,0.0994,0.265,82.495,rap,Pressure
Swamp Bitches (with Rico Nasty),0.823,0.62,0,-6.219,1,0.0671,0.000132,0.000354,0.0866,0.194,140.082,rap,Pressure
Raid,0.684,0.683,1,-5.531,1,0.343,0.0177,0.0,0.111,0.663,165.883,rap,Pressure
Seduce & Scheme (RAP SH!T: Soundtrack From The Max Original Series),0.915,0.645,1,-6.312,1,0.0847,0.0012,0.0,0.0794,0.385,108.028,rap,Pressure
Big Steppa,0.982,0.857,0,-3.163,1,0.219,0.254,3.99e-05,0.0416,0.581,111.986,rap,Pressure
CHOSEN,0.71,0.593,9,-10.684,1,0.33,0.00969,0.0,0.398,0.329,96.353,rap,Pressure
Back To The Basics,0.935,0.597,3,-8.464,0,0.358,0.283,0.0,0.108,0.791,129.981,rap,Pressure
Come Outside,0.775,0.874,8,-3.561,1,0.262,0.665,0.0,0.141,0.691,142.916,rap,Pressure
Outside (feat. Fivio Foreign),0.822,0.666,6,-7.377,0,0.389,0.101,0.0,0.133,0.866,73.487,rap,Pressure
Gangsta,0.908,0.623,9,-5.548,1,0.294,0.0823,0.0,0.0814,0.87,146.054,rap,Pressure
Out Loud Thinking,0.651,0.545,5,-5.617,0,0.64,0.052,0.0,0.86,0.233,73.727,rap,Pressure
Bag$ on Bag$,0.868,0.715,2,-4.86,1,0.154,0.000959,0.0,0.105,0.193,74.999,rap,Pressure
Remember,0.855,0.704,11,-11.274,1,0.445,0.0679,0.0,0.664,0.16,149.999,rap,Pressure
Alone,0.811,0.603,2,-3.485,1,0.338,0.0124,0.0,0.244,0.375,158.906,rap,Pressure
One Time,0.832,0.577,8,-7.556,1,0.323,0.0716,0.0,0.163,0.609,137.754,rap,Pressure
Bout U,0.868,0.409,6,-7.104,0,0.131,0.00169,0.00552,0.23,0.294,145.059,rap,Pressure
Playin Wit Me,0.905,0.682,6,-7.51,0,0.268,0.00194,0.0,0.0598,0.805,85.01,rap,Pressure
Choosey,0.767,0.599,10,-10.83,0,0.34,0.368,0.0,0.117,0.816,104.923,rap,Pressure
Real Freak,0.834,0.509,1,-8.946,1,0.247,0.0088,0.0,0.0807,0.454,150.049,rap,Pressure
Unh Unh,0.724,0.8,1,-6.19,1,0.415,0.0741,1.53e-06,0.144,0.562,178.339,rap,Pressure
GIRLS GONE WILD,0.899,0.555,10,-9.322,0,0.09,0.141,2.14e-06,0.0933,0.62,140.148,rap,Pressure
The Facts (feat. Young Devyn),0.725,0.67,0,-5.936,1,0.226,0.0067,0.0,0.1,0.362,160.043,rap,Pressure
Glass Slipper Flows,0.515,0.692,9,-5.898,1,0.38,0.145,0.0,0.589,0.279,75.188,rap,Pressure
Mel Gibson,0.776,0.745,0,-9.976,1,0.457,0.202,9.48e-05,0.367,0.594,77.925,rap,Pressure
Red Flags,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,pop,Pop Rising
Love Again,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,pop,Pop Rising
Flowers,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,pop,Pop Rising
Ghost,0.715,0.931,11,-3.548,0,0.0426,0.00573,0.00185,0.0549,0.615,119.971,pop,Pop Rising
